timestep,reward
0,-20.5695
5000,2.571
10000,1.45
15000,3.3345
20000,2.63
25000,5.627
30000,2.735
35000,4.0385
40000,4.321
45000,4.1615
50000,3.0205
55000,3.2005
60000,5.7115
65000,5.1355
70000,0.6055
75000,5.417
80000,4.508
85000,5.5845
90000,4.546
95000,2.992
100000,1.816
105000,6.5215
110000,3.735
115000,6.3685
120000,5.486
125000,5.3895
130000,4.273
135000,4.9875
140000,2.648
145000,3.4225
150000,5.786
155000,8.508
160000,6.032
165000,3.8315
170000,7.096
175000,6.186
180000,8.559
185000,5.337
190000,4.4345
195000,2.532
200000,4.637
205000,4.064
210000,5.7385
215000,9.492
220000,5.5735
225000,8.397
230000,8.4435
235000,5.198
240000,8.0425
245000,5.6645
250000,7.825
255000,6.307
260000,6.388
265000,4.6845
270000,6.5895
275000,6.6865
280000,5.372
285000,4.544
290000,7.901
295000,6.332
300000,6.4545
305000,8.5805
310000,4.7485
315000,8.9325
320000,6.213
325000,9.816
330000,6.215
335000,5.63
340000,7.131
345000,7.6605
350000,7.431
355000,7.907
360000,8.5875
365000,6.0475
370000,5.2075
375000,10.346
380000,8.5905
385000,7.759
390000,4.5485
395000,6.538
400000,8.653
405000,10.199
410000,5.771
415000,7.662
420000,7.1365
425000,8.1405
430000,7.0235
435000,6.609
440000,9.5355
445000,8.865
450000,10.916
455000,8.1145
460000,9.814
465000,10.992
470000,8.6555
475000,9.501
480000,8.091
485000,5.452
490000,9.668
495000,4.957
500000,6.692
505000,7.273
510000,10.105
515000,9.964
520000,9.987
525000,10.226
530000,9.252
535000,9.5065
540000,8.609
545000,9.429
550000,10.653
555000,12.192
560000,9.648
565000,11.231
570000,12.922
575000,7.419
580000,9.797
585000,5.024
590000,9.679
595000,11.105
600000,6.807
605000,11.044
610000,8.253
615000,10.004
620000,10.233
625000,5.433
630000,13.891
635000,10.555
640000,10.84
645000,9.175
650000,13.897
655000,10.836
660000,8.963
665000,10.913
670000,9.673
675000,6.113
680000,9.86
685000,8.809
690000,11.951
695000,12.029
700000,7.088
705000,8.332
710000,13.045
715000,9.263
720000,12.552
725000,11.351
730000,11.086
735000,12.061
740000,9.837
745000,13.255
750000,12.317
755000,13.207
760000,9.342
765000,8.301
770000,11.099
775000,8.446
780000,9.268
785000,12.218
790000,11.183
795000,9.276
800000,13.071
805000,13.2
810000,7.36
815000,8.914
820000,11.464
825000,10.796
830000,8.726
835000,9.25
840000,6.745
845000,11.978
850000,11.146
855000,12.76
860000,9.254
865000,11.099
870000,8.704
875000,10.215
880000,10.849
885000,12.443
890000,8.145
895000,10.989
900000,8.766
905000,10.219
910000,7.25
915000,10.187
920000,9.935
925000,9.036
930000,11.909
935000,13.13
940000,4.251
945000,7.409
950000,7.596
955000,11.647
960000,8.056
965000,7.791
970000,9.154
975000,11.15
980000,12.872
985000,12.462
990000,8.58
995000,6.899
