timestep,reward
0,-7.921
10000,4.579
20000,5.2905
30000,8.4555
40000,5.463
50000,4.3455
60000,8.3615
70000,4.6165
80000,8.381
90000,6.805
100000,2.9975
110000,6.136
120000,6.4785
130000,5.4255
140000,5.4215
150000,7.7305
160000,9.3405
170000,8.105
180000,8.9835
190000,6.268
200000,6.559
210000,6.041
220000,5.562
230000,9.1445
240000,9.4145
250000,9.8015
260000,7.121
270000,6.0205
280000,6.1455
290000,6.8125
300000,5.6695
310000,4.255
320000,6.0045
330000,5.8655
340000,9.0805
350000,6.833
360000,10.3005
370000,5.677
380000,6.1505
390000,5.805
400000,8.093
410000,6.782
420000,7.7965
430000,6.64
440000,9.117
450000,8.9245
460000,8.905
470000,6.6585
480000,7.943
490000,9.524
500000,5.6505
510000,10.9125
520000,8.3355
530000,8.771
540000,8.0755
550000,8.7905
560000,8.815
570000,9.3665
580000,7.9165
590000,7.529
600000,8.0755
610000,7.795
620000,8.346
630000,8.619
640000,8.925
650000,10.898
660000,8.764
670000,7.1165
680000,8.3805
690000,10.1875
700000,7.549
710000,10.0855
720000,7.3985
730000,9.7385
740000,9.692
750000,8.2785
760000,6.9025
770000,7.128
780000,6.789
790000,8.226
800000,10.831
810000,7.806
820000,9.24
830000,7.928
840000,7.085
850000,9.979
860000,8.0665
870000,6.14
880000,7.077
890000,4.819
900000,7.053
910000,7.03
920000,7.537
930000,9.376
940000,4.468
950000,6.0675
960000,9.8795
970000,7.156
980000,10.456
990000,5.6915
